prompt,noise0,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10,noise11,noise12,noise13,noise14,noise15,noise16,noise17,noise18,noise19,noise20,noise21,noise22,noise23,noise24,noise25,noise26,noise27,noise28,noise29,noise30,noise31,noise32,noise33,noise34,noise35,noise36,noise37,noise38,noise39,noise40,noise41,noise42,noise43,noise44,noise45,noise46,noise47,noise48,noise49
"goddess made of ice long hair like a waterfall, full body, horizontal symmetry!, elegant, intricate, highly detailed, fractal background, digital painting, artstation, concept art, wallpaper, smooth, sharp focus, illustration, epic light, art by kay nielsen and zeen chin and wadim kashin and sangyeob park, terada katsuya ",6.256763458251953,6.347043514251709,6.289165019989014,6.245716571807861,6.277640342712402,6.238792896270752,6.145075798034668,6.137613296508789,6.193394660949707,6.266735076904297,6.308205604553223,6.341552257537842,6.2702202796936035,6.325379371643066,6.449646472930908,6.2063140869140625,6.249143600463867,6.3753662109375,6.340897083282471,6.347142219543457,6.204914569854736,6.296498775482178,6.132950782775879,6.20657205581665,6.050754070281982,5.67382287979126,5.617993354797363,5.5428948402404785,5.639601230621338,5.876560211181641,6.018856048583984,6.248892307281494,6.1442646980285645,6.13196325302124,5.454558372497559,5.403114318847656,5.645607948303223,5.742293834686279,5.476913928985596,5.6725358963012695,5.599484920501709,5.479302406311035,5.233034610748291,5.1762542724609375,5.0614495277404785,5.139358997344971,4.952197551727295,4.970730304718018,4.886326313018799,4.396148204803467
"a dad angry at missing his flight from prague to nyc, the dad is drunk ",2.37005877494812,5.2954607009887695,5.152195930480957,5.352601051330566,5.222101211547852,5.376633167266846,5.35563325881958,5.183411598205566,5.5591583251953125,5.076842784881592,4.979645729064941,5.05665922164917,5.344600200653076,5.101208209991455,5.0984086990356445,5.022814750671387,5.174929141998291,5.015891075134277,4.9062113761901855,5.219698905944824,5.107100963592529,5.242998123168945,4.977885723114014,4.87440299987793,4.956671714782715,4.685441970825195,4.900547981262207,4.771232604980469,4.592771053314209,4.310773849487305,4.619749546051025,4.940334796905518,4.934127330780029,5.0823259353637695,4.756075382232666,4.731872081756592,4.813360214233398,5.0619001388549805,5.00486421585083,4.536909103393555,4.457043170928955,4.505344867706299,4.215923309326172,4.693159580230713,4.463621616363525,5.052611827850342,4.62898063659668,4.764101505279541,4.937363624572754,4.649869441986084
"mandelbrot 3 d volume fractal mandala ceramic chakra digital color stylized an ancient white bone and emerald gemstone relic, intricate engraving concept substance patern texture natural color scheme, global illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal ",5.712670803070068,5.019497871398926,5.049605846405029,5.18747615814209,5.105791091918945,5.268980026245117,5.389455795288086,5.418304920196533,5.447479724884033,5.483737468719482,5.505070686340332,5.4629597663879395,5.411896228790283,5.569525241851807,5.534238815307617,5.488053321838379,5.460873126983643,5.443795204162598,5.284120082855225,5.2946085929870605,5.082799434661865,5.23173713684082,5.397054672241211,5.615083694458008,5.454886436462402,5.616027355194092,5.4570746421813965,5.130665302276611,4.9418625831604,5.081121444702148,4.9516825675964355,5.006809711456299,5.125288963317871,5.309955596923828,5.4782280921936035,3.6492815017700195,3.9349560737609863,4.235732078552246,4.190596103668213,4.545891284942627,3.941882610321045,4.355052947998047,4.1263813972473145,4.4408111572265625,4.24650239944458,4.526348114013672,4.460277080535889,4.93717622756958,4.371852397918701,4.771687030792236
"spongebob's house, 16 bit,",4.578552722930908,4.581455230712891,4.504032135009766,4.422000408172607,4.391355037689209,4.385686874389648,4.459157466888428,4.080098628997803,4.389822006225586,4.441319465637207,4.59977388381958,4.321621417999268,4.196632385253906,4.467356204986572,4.133608818054199,4.233266353607178,4.188895225524902,4.17284631729126,4.19093132019043,4.293496131896973,4.343677520751953,4.4253668785095215,4.452784538269043,4.332777500152588,4.5717620849609375,4.489052772521973,4.404402256011963,4.39215612411499,4.535309314727783,4.5001606941223145,4.744237899780273,3.77455472946167,3.8591222763061523,3.5615673065185547,4.100162029266357,4.291845321655273,4.1257243156433105,4.166837692260742,3.9603734016418457,4.007497310638428,4.62977409362793,4.362330436706543,4.251852989196777,4.281173229217529,4.4158616065979,4.458525657653809,4.3901166915893555,4.215953826904297,4.4283647537231445,4.353842735290527
"oil painting portrait of brock pierce, american flag on background, cowboy style. ",6.041473865509033,6.485320568084717,6.490249156951904,6.461297035217285,6.471656322479248,6.483075141906738,6.447529315948486,6.4422993659973145,6.424294948577881,6.523473262786865,6.624502182006836,6.5664286613464355,6.6515703201293945,6.714848518371582,6.629830837249756,6.6949872970581055,6.681649684906006,6.734933376312256,6.514406204223633,6.417193412780762,6.58669376373291,6.604790210723877,6.5356597900390625,5.756997585296631,5.995650291442871,6.213642597198486,5.723293304443359,5.531925678253174,5.8222808837890625,5.461430072784424,5.514616012573242,5.407333850860596,5.8867363929748535,5.865492820739746,5.697338104248047,5.526742458343506,5.1495184898376465,5.278262615203857,5.05149507522583,5.270963668823242,4.6545538902282715,4.55403470993042,4.612785816192627,5.3951921463012695,5.041732311248779,5.142032146453857,5.502440929412842,5.210886478424072,4.7899017333984375,5.302955627441406
Oh no,2.610234260559082,3.818459987640381,3.782641887664795,4.085587501525879,3.907038688659668,3.9070310592651367,3.8778014183044434,4.007094860076904,4.240039825439453,4.3327860832214355,4.09266471862793,3.9895715713500977,4.362318515777588,4.7565226554870605,4.498293399810791,4.59527587890625,4.66506290435791,5.051599025726318,4.77516508102417,5.130784511566162,5.029473304748535,5.247195720672607,5.0611252784729,5.367530822753906,5.381743431091309,5.030643463134766,5.354476451873779,5.043442249298096,4.127506732940674,4.811110019683838,5.311800003051758,5.058257579803467,5.215122222900391,5.063007831573486,4.973745346069336,5.076778888702393,4.793378829956055,5.131739616394043,5.042645454406738,4.876830577850342,5.052088737487793,5.21618127822876,5.148046970367432,4.762491703033447,4.892910480499268,5.0587005615234375,4.518855571746826,4.456851482391357,4.060772895812988,3.7552547454833984
The last thing a human sees before death,4.570712089538574,4.6994171142578125,4.861880779266357,4.461645126342773,4.393739223480225,4.1920366287231445,3.890052318572998,4.860170364379883,4.294598579406738,4.44120979309082,4.623268127441406,4.3247222900390625,4.251091957092285,3.8944759368896484,4.3067545890808105,4.592222690582275,4.4126362800598145,4.431657314300537,4.3514790534973145,4.732659816741943,4.465112686157227,4.034999847412109,4.7230753898620605,4.980940818786621,5.1420440673828125,4.17017936706543,4.245175838470459,4.356037139892578,5.135970115661621,4.920685768127441,4.776291370391846,4.836440563201904,4.946702480316162,5.01104211807251,4.877884387969971,4.646600246429443,4.570882320404053,4.440509796142578,4.548532962799072,4.365348815917969,4.599831581115723,4.48047399520874,5.023044109344482,4.760843276977539,4.717881202697754,4.794607162475586,4.604391574859619,4.36211633682251,4.28925085067749,4.167754173278809
Steve Buscemi as Willy Wonka,5.411567211151123,5.199440956115723,5.226310729980469,5.21489953994751,5.270596504211426,5.288389205932617,5.389755725860596,5.383185863494873,5.5135087966918945,5.551881790161133,5.624852180480957,5.664555549621582,5.547399997711182,5.712829113006592,5.734426498413086,5.59927225112915,5.645495891571045,5.642357349395752,4.919102191925049,4.647128582000732,4.892577171325684,4.4982523918151855,4.722871780395508,4.662526607513428,4.292159080505371,4.389349937438965,4.456634998321533,4.323266506195068,4.44907808303833,4.357650279998779,4.426558971405029,4.283483505249023,3.853966236114502,4.1817240715026855,4.060749053955078,4.227395057678223,4.541974067687988,4.460853099822998,4.474235534667969,4.554312229156494,4.603546619415283,3.8195624351501465,3.604342460632324,3.75211238861084,4.300027370452881,4.099335670471191,4.925922870635986,4.5485663414001465,4.708296298980713,4.855940341949463
"very old and very detailed great canvas with wonderful gradient from warm to cold tones, multilayer last supper johannes itten and hiroshi nagai colors,, pattern of escher style 3 6 0 panorama with hieronymus bosch style bubbles, contrast of light and shadows, unfinished,, digital 4 k, super resolution ",5.7745161056518555,5.88535737991333,5.9249114990234375,5.738046169281006,5.939083576202393,6.138913631439209,6.135412216186523,5.836218357086182,5.98512601852417,5.947267532348633,5.784221649169922,5.787011623382568,5.950613498687744,5.972071647644043,6.140626907348633,6.068679332733154,6.084417343139648,6.094796657562256,5.833612442016602,6.0174055099487305,6.168117046356201,6.303708076477051,6.117064476013184,5.90186882019043,5.81521463394165,5.567772388458252,5.137032985687256,5.21624231338501,4.708570957183838,4.6900553703308105,4.870228290557861,5.094753265380859,4.72132682800293,4.549845218658447,4.810749530792236,4.787630081176758,4.684336185455322,5.109677314758301,4.488673686981201,4.634079933166504,4.812389850616455,4.319624423980713,4.418109893798828,4.460998058319092,4.111380577087402,4.9740424156188965,4.8374152183532715,4.7104644775390625,4.713788032531738,4.883918762207031
Monkey Pointing a Gun at a Computer Meme,2.668577194213867,3.066033363342285,2.594402313232422,2.3748793601989746,3.5378804206848145,2.8991634845733643,2.9097213745117188,2.7568609714508057,2.825352668762207,2.7118825912475586,2.830392360687256,2.8899178504943848,2.959197998046875,3.2037620544433594,5.103472709655762,5.493833541870117,4.911322116851807,4.462250232696533,5.441854476928711,5.449732780456543,5.601614475250244,5.313436985015869,5.185329914093018,5.4201436042785645,4.969388961791992,4.585195064544678,4.748957633972168,4.721062183380127,4.757772445678711,5.267394542694092,4.947086334228516,4.823228359222412,4.677374362945557,4.702033996582031,4.823785781860352,5.118559837341309,5.112905979156494,5.70718240737915,5.017317295074463,4.829100131988525,4.457607746124268,3.886895179748535,4.184796333312988,4.0961995124816895,4.445358753204346,4.52916145324707,4.642241954803467,4.035932540893555,4.053450107574463,3.802900791168213
"bright psychedelic portrait of tom waits baking pizza, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",6.545637607574463,6.366507530212402,6.394637107849121,6.440101623535156,6.519952297210693,6.319119930267334,6.334388256072998,6.289058208465576,6.3250908851623535,6.384061813354492,6.270325660705566,6.171514987945557,6.205761432647705,6.192014217376709,6.12913703918457,5.8770833015441895,5.843699932098389,6.0465922355651855,5.851206302642822,5.634405612945557,5.689686298370361,5.593649387359619,5.5957112312316895,5.923287868499756,5.999398708343506,5.875699043273926,6.116197109222412,5.925836563110352,5.823147296905518,5.6580281257629395,5.522911071777344,5.612871170043945,5.538516998291016,5.1942138671875,4.914932727813721,4.5699920654296875,5.066539764404297,5.3563361167907715,5.410674571990967,5.729872226715088,4.278825759887695,4.556158542633057,4.419796943664551,4.152436256408691,4.2466325759887695,4.551490306854248,4.52886438369751,4.582447528839111,4.574312210083008,4.230522632598877
elon troll face ,3.9814414978027344,5.155972480773926,4.982057094573975,5.043626308441162,5.150496482849121,5.174101829528809,5.169088363647461,5.189487457275391,5.302769184112549,5.07916259765625,5.170778274536133,4.96495246887207,4.99130392074585,4.8519744873046875,4.909389495849609,4.765656471252441,5.020655632019043,5.002926826477051,5.267241477966309,5.167524814605713,4.7591729164123535,4.78291130065918,4.671945571899414,4.249297142028809,3.931565284729004,3.6812868118286133,4.525269985198975,4.414761066436768,5.12240743637085,4.225237846374512,4.563602447509766,4.624279022216797,4.223875045776367,4.650118827819824,4.165319919586182,4.340134143829346,4.249275207519531,4.660865306854248,4.625291347503662,4.588094234466553,4.561012268066406,4.372347354888916,5.062073230743408,5.049649238586426,4.91855525970459,4.74276876449585,4.380609512329102,4.34034538269043,4.256291389465332,4.443073272705078
vladimur putin on a magic the gathering card ,5.211942195892334,5.194653511047363,4.895183086395264,4.748839855194092,4.895650386810303,5.221673011779785,4.954710960388184,4.7911577224731445,4.8969197273254395,4.984919548034668,4.201818943023682,4.070569038391113,4.2262372970581055,4.185030460357666,4.058984756469727,3.686354160308838,3.4999923706054688,5.028229713439941,4.752786636352539,4.6595940589904785,4.819719314575195,4.696990966796875,4.552276134490967,4.702803611755371,4.831120491027832,4.8668951988220215,4.425290107727051,4.166472911834717,4.436856746673584,3.9313387870788574,4.380050182342529,4.570993900299072,4.669034004211426,4.258244514465332,4.259954929351807,4.006577968597412,4.056334495544434,4.387160301208496,4.600290298461914,4.819621562957764,4.419225692749023,3.9720001220703125,4.134836673736572,3.987804889678955,4.463011741638184,4.088644027709961,4.09675407409668,4.045647621154785,3.930990219116211,4.134040832519531
